,성별,연령대,가구소득정도,사용목적1순위값,사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,휴식오락사용비율,취미사용비율,본인계발사용비율,대인관계교제사용비율,기타사용비율,관심레저활동1순위값,계절,위도,경도,또래인구수
10022,1,0,1,3,9,3,6,30.0,20.0,10.0,40.0,0.0,6,0,37.4138,127.5183,1677623
10023,1,4,2,1,9,10,10,45.0,40.0,10.0,5.0,0.0,49,0,37.5665,126.978,1301333
10024,1,2,2,6,8,1,4,70.0,0.0,30.0,0.0,0.0,29,0,37.5665,126.978,1406016
10025,1,0,4,6,8,2,7,90.0,0.0,10.0,0.0,0.0,61,0,37.5665,126.978,1350822
10026,0,2,4,0,9,3,11,70.0,10.0,10.0,10.0,0.0,5,0,37.5665,126.978,1406016
10027,1,4,2,1,7,2,3,20.0,40.0,20.0,20.0,0.0,31,0,37.5665,126.978,1301333
10028,0,4,4,1,5,3,5,30.0,10.0,10.0,50.0,0.0,65,0,37.5665,126.978,1301333
10029,0,3,2,3,7,5,10,30.0,0.0,40.0,0.0,30.0,49,0,37.5665,126.978,1476224
10030,1,3,2,8,5,1,5,70.0,10.0,10.0,10.0,0.0,61,0,37.5665,126.978,1476224
10031,1,0,0,6,8,3,5,70.0,0.0,10.0,20.0,0.0,15,0,37.5665,126.978,1350822
10032,0,1,4,1,9,3,6,40.0,10.0,20.0,30.0,0.0,53,0,37.5665,126.978,1419153
10033,1,0,0,7,6,12,12,80.0,0.0,20.0,0.0,0.0,6,0,37.5665,126.978,1350822
10034,1,4,4,1,5,15,6,50.0,15.0,15.0,20.0,0.0,61,0,37.5665,126.978,1301333
10035,1,1,4,1,4,3,6,25.0,25.0,15.0,35.0,0.0,73,0,37.5665,126.978,1419153
10036,0,1,2,5,0,10,12,30.0,10.0,10.0,50.0,0.0,49,0,37.5665,126.978,1419153
10037,1,1,4,6,9,4,14,100.0,0.0,0.0,0.0,0.0,33,0,37.5665,126.978,1419153
10038,1,0,0,3,5,5,8,100.0,0.0,0.0,0.0,0.0,61,0,37.5665,126.978,1350822
10039,1,4,3,1,0,2,3,60.0,0.0,0.0,40.0,0.0,43,0,37.5665,126.978,1301333
10040,1,4,2,8,1,5,4,35.0,25.0,20.0,20.0,0.0,31,0,37.5665,126.978,1301333
10041,0,3,2,0,1,3,3,10.0,60.0,10.0,20.0,0.0,12,0,37.5665,126.978,1476224
10042,1,1,2,5,6,3,5,80.0,10.0,0.0,10.0,0.0,6,0,36.6357,127.4913,187136
10043,0,1,1,8,0,3,5,50.0,0.0,50.0,0.0,0.0,53,0,37.4138,127.5183,1871078
10044,1,4,1,8,5,1,5,30.0,10.0,0.0,60.0,0.0,61,0,35.1796,129.0756,557851
10045,0,1,2,0,8,2,10,20.0,20.0,30.0,30.0,0.0,52,0,36.3504,127.3845,187192
10046,1,4,4,0,7,5,5,10.0,30.0,30.0,30.0,0.0,15,0,37.4563,126.7052,438663
10047,0,2,2,1,0,2,4,10.0,50.0,20.0,20.0,0.0,5,0,35.1796,129.0756,481534
10048,1,0,2,8,6,2,2,90.0,8.0,0.0,2.0,0.0,69,0,35.1796,129.0756,376716
10049,0,2,3,0,6,2,3,80.0,0.0,0.0,20.0,0.0,61,0,35.8714,128.6014,354272
10050,0,1,3,6,3,4,8,30.0,30.0,20.0,20.0,0.0,48,0,34.816,126.4629,169028
10051,0,1,3,0,6,1,3,80.0,0.0,0.0,20.0,0.0,61,0,36.3504,127.3845,187192
10052,1,3,3,1,6,1,3,0.0,70.0,0.0,30.0,0.0,31,0,35.7175,127.153,299487
10053,0,1,3,0,1,3,3,10.0,20.0,20.0,50.0,0.0,65,0,37.5665,126.978,1419153
10054,0,3,0,0,5,3,6,80.0,0.0,0.0,20.0,0.0,61,0,36.3504,127.3845,241771
10055,0,1,2,6,5,1,1,90.0,0.0,0.0,10.0,0.0,52,0,37.4138,127.5183,1871078
