,userId,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
230,53345245,걷기-속보-조깅 직접 하기,줄넘기-맨손체조-스트레칭 직접 하기,친구-이성친구 만남,문학 행사 관람,없음
231,53345415,쇼핑,독서,요리-베이킹,영상 컨텐츠 시청,낮잠자기
232,53345454,걷기-속보-조깅 직접 하기,계모임-동창회-사교모임,구기스포츠 직접 하기,음주-유흥,국내 여행
233,53345464,사진 촬영,영상 컨텐츠 시청,국내 여행,산책-걷기,국내 프로스포츠 영상 시청
234,53345487,드라이브,국내 프로스포츠 영상 시청,줄넘기-맨손체조-스트레칭 직접 하기,걷기-속보-조깅 직접 하기,가족-친지 만남
235,53345758,음주-유흥,영화관 관람,없음,없음,없음
236,53345787,산책-걷기,격투 스포츠 영상 시청,친구-이성친구 만남,없음,없음
237,53345791,영상 컨텐츠 시청,드라이브,쇼핑,없음,없음
238,53345973,친구-이성친구 만남,낚시,맛집-카페 탐방,영화관 관람,국내 프로스포츠 영상 시청
239,53346002,독서,줄넘기-맨손체조-스트레칭 직접 하기,걷기-속보-조깅 직접 하기,낮잠자기,종교활동
240,53346037,영상 컨텐츠 시청,음악-라디오 감상,독서,인테리어,산책-걷기
241,53346063,걷기-속보-조깅 직접 하기,어학-기술-자격증 취득,맛집-카페 탐방,친구-이성친구 만남,해외여행
242,53346144,게임,미술관-전시관 관람,없음,없음,없음
243,53346162,걷기-속보-조깅 직접 하기,요리-베이킹,독서,음악-라디오 감상,맛집-카페 탐방
244,53346212,어학-기술-자격증 취득,없음,없음,없음,없음
245,53346413,영상 컨텐츠 시청,게임,e스포츠 영상 시청,해외 프로스포츠 영상 시청,음주-유흥
246,53346609,수영 직접 하기,걷기-속보-조깅 직접 하기,생활공예-원예,온천-사우나-찜질방,사회봉사활동
247,53346722,게임,SNS -인터넷 커뮤니티 활동,만화책 보기,기타 취미-오락-휴식,산책-걷기
248,53346724,산책-걷기,국내 프로스포츠 영상 시청,등산 직접 하기,영상 컨텐츠 시청,쇼핑
249,53346756,신문-잡지보기,독서,없음,없음,없음
250,53346757,영상 컨텐츠 시청,영상 컨텐츠 제작,음악-라디오 감상,만화책 보기,산책-걷기
251,53346874,골프 직접 하기,볼링_ 당구-포켓볼 직접 하기,국내 프로스포츠 영상 시청,가족-친지 만남,골프 영상 시청
252,53346956,SNS -인터넷 커뮤니티 활동,쇼핑,헬스-보디빌딩 직접 하기,친구-이성친구 만남,수다-잡담하기
253,53347049,낮잠자기,쇼핑,국내 여행,온천-사우나-찜질방,미용
254,53347142,반려동물 돌보기,가족-친지 만남,친구-이성친구 만남,영상 컨텐츠 시청,게임
255,53347204,골프 직접 하기,종교활동,영화관 관람,등산 직접 하기,계모임-동창회-사교모임
256,53347246,만화책 보기,쇼핑,낮잠자기,없음,없음
257,53347521,맛집-카페 탐방,낮잠자기,가족-친지 만남,기타 관광-여행,영상 컨텐츠 시청
258,53347617,드라이브,없음,없음,없음,없음
259,53347819,산책-걷기,수다-잡담하기,영상 컨텐츠 시청,친구-이성친구 만남,낮잠자기
260,53348090,맛집-카페 탐방,낮잠자기,헬스-보디빌딩 직접 하기,국내 여행,친구-이성친구 만남
261,53348253,요가-필라테스 직접 하기,온천-사우나-찜질방,친구-이성친구 만남,음악-라디오 감상,수다-잡담하기
262,53348424,드라이브,낮잠자기,없음,없음,없음
263,53348458,만화책 보기,기타 스포츠-운동 직접하기,없음,없음,없음
264,53348536,등산 직접 하기,줄넘기-맨손체조-스트레칭 직접 하기,산책-걷기,없음,없음
265,53348669,반려동물 돌보기,없음,없음,없음,없음
266,53348715,친구-이성친구 만남,가족-친지 만남,국내 여행,캠핑-차박,수다-잡담하기
267,53348732,게임,영상 컨텐츠 시청,요리-베이킹,없음,없음
268,53348783,종교활동,줄넘기-맨손체조-스트레칭 직접 하기,수다-잡담하기,없음,없음
269,53349181,영상 컨텐츠 시청,등산 직접 하기,산책-걷기,온천-사우나-찜질방,드라이브
270,53349482,무도-격투기 직접 하기,없음,없음,없음,없음
271,53349503,만화책 보기,없음,없음,없음,없음
272,53349732,산책-걷기,등산 직접 하기,맛집-카페 탐방,걷기-속보-조깅 직접 하기,국내 여행
273,53349752,계모임-동창회-사교모임,없음,없음,없음,없음
274,53349777,만화책 보기,온천-사우나-찜질방,낮잠자기,독서,골프 영상 시청
275,53349955,계모임-동창회-사교모임,없음,없음,없음,없음
276,53350046,국내 여행,자전거-싸이클-산악자전거 직접 타기,수영 직접 하기,캠핑-차박,액티비티-체험
277,53350158,등산 직접 하기,음악-라디오 감상,자전거-싸이클-산악자전거 직접 타기,드라이브,국내 여행
278,53350466,등산 직접 하기,줄넘기-맨손체조-스트레칭 직접 하기,영화관 관람,독서,e스포츠 영상 시청
279,53350520,테마파크-시설 방문,독서,미술관-전시관 관람,수다-잡담하기,생활공예-원예
280,53350534,게임,영화관 관람,라켓스포츠 직접 하기,낮잠자기,없음
281,53350540,낮잠자기,가족-친지 만남,SNS -인터넷 커뮤니티 활동,독서,수다-잡담하기
282,53350638,종교활동,맛집-카페 탐방,쇼핑,낮잠자기,음악-라디오 감상
283,53350646,수영 직접 하기,종교활동,가족-친지 만남,국내 여행,쇼핑
284,53350670,독서,쇼핑,낮잠자기,문학 직접 활동 및 수강하기,캠핑-차박
285,53350925,줄넘기-맨손체조-스트레칭 직접 하기,헬스-보디빌딩 직접 하기,SNS -인터넷 커뮤니티 활동,낮잠자기,맛집-카페 탐방
286,53350936,걷기-속보-조깅 직접 하기,골프 직접 하기,맛집-카페 탐방,산책-걷기,골프 영상 시청
287,53351286,게임,만화책 보기,무도-격투기 직접 하기,없음,없음
288,53351329,걷기-속보-조깅 직접 하기,없음,없음,없음,없음
289,53351333,걷기-속보-조깅 직접 하기,산책-걷기,맛집-카페 탐방,드라이브,소풍-피크닉
290,53351424,자전거-싸이클-산악자전거 직접 타기,드라이브,구기스포츠 직접 하기,가족-친지 만남,종교활동
291,53351479,헬스-보디빌딩 직접 하기,쇼핑,문학 행사 관람,계모임-동창회-사교모임,없음
292,53351536,기타 자기계발-자기관리,없음,없음,없음,없음
293,53351565,쇼핑,국내 프로스포츠 영상 시청,기타 스포츠 영상-현장 관람,국내 프로스포츠 현장 관람,산책-걷기
294,53351615,친구-이성친구 만남,가족-친지 만남,걷기-속보-조깅 직접 하기,드라이브,등산 직접 하기
295,53352010,산책-걷기,쇼핑,국내 여행,맛집-카페 탐방,요가-필라테스 직접 하기
